geneID	heart1	heart2	heart3	heart4	stomach1	stomach2	stomach3	stomach4
ENSG00000056097	40.77184166642381	40.62343512461352	38.93758874270185	37.72900411204375	45.828435148851995	48.823457089091136	37.896568486196244	36.95846585935993
ENSG00000113387	96.68555668189506	116.07832833766018	94.00574835413984	83.52954883025863	226.62872669904442	270.4041219352348	213.59806770335686	203.34111375492984
ENSG00000113389	0.0	0.031352224217789125	0.0	0.0	0.0	0.0	0.0	0.0823566641541855
ENSG00000113407	108.54803921905004	152.44258523364286	113.12860082161998	174.3595722440071	93.80861436471052	136.53235256075385	113.78064429079477	172.18203756736025
ENSG00000151388	2.2068280656417967	1.8347944937305207	3.326258614700089	1.7275527379153892	1.2918082390951564	1.043436805545115	1.7854719331652102	1.7512212409277552
ENSG00000164175	0.0	0.0	0.0	0.0	0.0	0.15055782143232296	0.0	0.17493525547279898
ENSG00000242110	8.486736889499888	7.480479984193216	9.642581783741344	27.560781926177985	6.930528284331876	5.222844009581993	8.119713790760374	15.962783200770607
ENSG00000039560	52.321678729392794	55.610990372239065	46.45618191862982	43.38849481440187	99.2124529560727	105.82658046589191	77.79907290429509	69.65522651414938
ENSG00000205838	2.3992412857851493	1.9102626238753664	3.3814518770832436	3.0416207336797862	0.9714732948786914	0.751996055427976	1.0649168094080996	1.4562580322887582
ENSG00000113456	12.801235414551	12.937903560383715	10.924998231309443	23.478684777865585	20.982679551498528	31.4303911014647	28.700299773257882	44.75855077827878
ENSG00000113460	45.514134549736184	47.901243314105166	49.36753288443549	67.347996197239	89.76056352248237	109.97653561629885	94.7122820237924	130.2449618547196
ENSG00000168724	18.94291596148243	17.73837716457971	16.605113190064735	24.52194668318337	94.18632827251386	98.10355472493148	77.24461128300189	90.73354060958648
ENSG00000113494	0.2515024890273756	0.4483597679677633	0.2756938657862669	0.8225613725256304	0.2857002015920652	0.4423084520486761	0.3131809682577681	1.3704651377268464
