gene_id
gSpikein_ERCC-00002
gSpikein_ERCC-00003
gSpikein_ERCC-00004
gSpikein_ERCC-00019
gSpikein_ERCC-00022
gSpikein_ERCC-00025
gSpikein_ERCC-00035
gSpikein_ERCC-00042
gSpikein_ERCC-00043
gSpikein_ERCC-00044
gSpikein_ERCC-00046
gSpikein_ERCC-00051
gSpikein_ERCC-00053
gSpikein_ERCC-00060
gSpikein_ERCC-00062
gSpikein_ERCC-00071
gSpikein_ERCC-00074
gSpikein_ERCC-00076
gSpikein_ERCC-00078
gSpikein_ERCC-00079
gSpikein_ERCC-00084
gSpikein_ERCC-00092
gSpikein_ERCC-00095
gSpikein_ERCC-00096
gSpikein_ERCC-00108
gSpikein_ERCC-00111
gSpikein_ERCC-00112
gSpikein_ERCC-00113
gSpikein_ERCC-00130
gSpikein_ERCC-00131
gSpikein_ERCC-00136
gSpikein_ERCC-00144
gSpikein_ERCC-00145
gSpikein_ERCC-00160
gSpikein_ERCC-00162
gSpikein_ERCC-00163
gSpikein_ERCC-00165
gSpikein_ERCC-00171
gSpikein_phiX174
