gene_id	TPM	file_accession
ENSG00000007062	1.25	ENCFF633OSJ
ENSG00000007080	5.76	ENCFF633OSJ
ENSG00000007168	30.03	ENCFF633OSJ
ENSG00000007174	1.09	ENCFF633OSJ
ENSG00000007202	31.92	ENCFF633OSJ
ENSG00000007216	5.21	ENCFF633OSJ
ENSG00000007237	16.38	ENCFF633OSJ
ENSG00000007255	19.46	ENCFF633OSJ
ENSG00000007264	1.27	ENCFF633OSJ
ENSG00000007306	2.15	ENCFF633OSJ
ENSG00000007312	1.88	ENCFF633OSJ
ENSG00000007341	6.72	ENCFF633OSJ
ENSG00000007376	4.95	ENCFF633OSJ
ENSG00000007384	10.86	ENCFF633OSJ
ENSG00000007392	15.95	ENCFF633OSJ
ENSG00000007516	0.58	ENCFF633OSJ
ENSG00000007520	16.61	ENCFF633OSJ
ENSG00000007541	12.76	ENCFF633OSJ
ENSG00000007545	6.66	ENCFF633OSJ
ENSG00000007866	9.32	ENCFF633OSJ
ENSG00000007923	5.71	ENCFF633OSJ
ENSG00000007933	0.63	ENCFF633OSJ
ENSG00000007944	7.87	ENCFF633OSJ
ENSG00000007968	1.07	ENCFF633OSJ
ENSG00000008018	45.07	ENCFF633OSJ
ENSG00000008083	4.74	ENCFF633OSJ
ENSG00000008086	1.95	ENCFF633OSJ
ENSG00000008128	15.5	ENCFF633OSJ
ENSG00000008130	13.14	ENCFF633OSJ
ENSG00000008196	2.13	ENCFF633OSJ
ENSG00000008256	11.87	ENCFF633OSJ
ENSG00000008277	0.63	ENCFF633OSJ
ENSG00000008282	27.21	ENCFF633OSJ
ENSG00000008283	20.78	ENCFF633OSJ
ENSG00000008294	19.02	ENCFF633OSJ
ENSG00000008311	3.81	ENCFF633OSJ
ENSG00000008323	7.07	ENCFF633OSJ
ENSG00000008324	3.57	ENCFF633OSJ
ENSG00000008382	2.25	ENCFF633OSJ
ENSG00000008394	20.7	ENCFF633OSJ
ENSG00000008405	4.27	ENCFF633OSJ
ENSG00000008441	52.76	ENCFF633OSJ
ENSG00000008513	3.25	ENCFF633OSJ
ENSG00000008517	2.81	ENCFF633OSJ
ENSG00000008710	75.02	ENCFF633OSJ
ENSG00000008735	0.78	ENCFF633OSJ
ENSG00000008838	20.28	ENCFF633OSJ
ENSG00000008853	2.35	ENCFF633OSJ
ENSG00000008869	12.57	ENCFF633OSJ
ENSG00000008952	7.77	ENCFF633OSJ
ENSG00000008988	571.43	ENCFF633OSJ
ENSG00000009307	89.93	ENCFF633OSJ
ENSG00000009335	19.24	ENCFF633OSJ
ENSG00000009413	4.93	ENCFF633OSJ
ENSG00000009694	0.57	ENCFF633OSJ
ENSG00000009780	4.17	ENCFF633OSJ
ENSG00000009830	3.85	ENCFF633OSJ
ENSG00000009844	8.39	ENCFF633OSJ
ENSG00000009950	2.2	ENCFF633OSJ
ENSG00000009954	7.35	ENCFF633OSJ
ENSG00000010017	8.47	ENCFF633OSJ
ENSG00000010030	2.83	ENCFF633OSJ
ENSG00000010072	4.73	ENCFF633OSJ
ENSG00000010165	6.96	ENCFF633OSJ
ENSG00000010219	4.25	ENCFF633OSJ
ENSG00000010244	33.33	ENCFF633OSJ
ENSG00000010256	79.63	ENCFF633OSJ
ENSG00000010270	2.94	ENCFF633OSJ
ENSG00000010278	111.25	ENCFF633OSJ
ENSG00000010292	7.5	ENCFF633OSJ
ENSG00000010295	1.34	ENCFF633OSJ
ENSG00000010318	3.02	ENCFF633OSJ
ENSG00000010319	10.41	ENCFF633OSJ
ENSG00000010322	25.06	ENCFF633OSJ
ENSG00000010327	5.0	ENCFF633OSJ
ENSG00000010361	5.73	ENCFF633OSJ
ENSG00000010404	13.24	ENCFF633OSJ
ENSG00000010438	3.35	ENCFF633OSJ
ENSG00000010539	1.31	ENCFF633OSJ
ENSG00000010610	0.59	ENCFF633OSJ
ENSG00000010626	3.75	ENCFF633OSJ
ENSG00000010704	1.0	ENCFF633OSJ
ENSG00000010803	5.91	ENCFF633OSJ
ENSG00000010810	17.95	ENCFF633OSJ
ENSG00000010818	6.12	ENCFF633OSJ
ENSG00000010932	3.39	ENCFF633OSJ
ENSG00000011007	9.04	ENCFF633OSJ
ENSG00000011009	18.17	ENCFF633OSJ
ENSG00000011021	2.47	ENCFF633OSJ
ENSG00000011028	8.79	ENCFF633OSJ
ENSG00000011052	4.49	ENCFF633OSJ
ENSG00000011105	8.0	ENCFF633OSJ
ENSG00000011114	5.97	ENCFF633OSJ
ENSG00000011132	4.68	ENCFF633OSJ
ENSG00000011143	4.47	ENCFF633OSJ
ENSG00000011198	17.13	ENCFF633OSJ
ENSG00000011201	2.16	ENCFF633OSJ
ENSG00000011243	32.44	ENCFF633OSJ
ENSG00000011258	6.0	ENCFF633OSJ
ENSG00000011260	6.27	ENCFF633OSJ
ENSG00000011275	8.43	ENCFF633OSJ
ENSG00000011295	12.68	ENCFF633OSJ
ENSG00000011304	39.44	ENCFF633OSJ
ENSG00000011347	1.98	ENCFF633OSJ
ENSG00000011376	3.92	ENCFF633OSJ
ENSG00000011405	9.46	ENCFF633OSJ
ENSG00000011422	2.87	ENCFF633OSJ
ENSG00000011426	2.4	ENCFF633OSJ
ENSG00000011451	10.69	ENCFF633OSJ
ENSG00000011454	21.08	ENCFF633OSJ
ENSG00000011465	129.88	ENCFF633OSJ
ENSG00000011478	2.33	ENCFF633OSJ
ENSG00000011485	13.07	ENCFF633OSJ
ENSG00000011523	8.1	ENCFF633OSJ
ENSG00000011566	7.89	ENCFF633OSJ
ENSG00000011600	3.86	ENCFF633OSJ
ENSG00000011638	46.5	ENCFF633OSJ
ENSG00000012048	1.21	ENCFF633OSJ
ENSG00000012061	24.23	ENCFF633OSJ
ENSG00000012171	0.96	ENCFF633OSJ
ENSG00000012174	1.43	ENCFF633OSJ
ENSG00000012211	8.98	ENCFF633OSJ
ENSG00000012223	1.17	ENCFF633OSJ
ENSG00000012232	8.76	ENCFF633OSJ
ENSG00000012660	11.58	ENCFF633OSJ
ENSG00000012779	3.11	ENCFF633OSJ
ENSG00000012817	11.32	ENCFF633OSJ
ENSG00000012822	74.74	ENCFF633OSJ
ENSG00000012963	8.27	ENCFF633OSJ
ENSG00000012983	26.26	ENCFF633OSJ
ENSG00000013016	1.66	ENCFF633OSJ
ENSG00000013275	20.55	ENCFF633OSJ
ENSG00000013288	6.59	ENCFF633OSJ
ENSG00000013297	0.88	ENCFF633OSJ
ENSG00000013306	31.14	ENCFF633OSJ
ENSG00000013364	17.9	ENCFF633OSJ
ENSG00000013374	11.87	ENCFF633OSJ
ENSG00000013375	4.38	ENCFF633OSJ
ENSG00000013441	37.05	ENCFF633OSJ
ENSG00000013503	3.46	ENCFF633OSJ
ENSG00000013523	5.36	ENCFF633OSJ
ENSG00000013561	12.09	ENCFF633OSJ
ENSG00000013563	7.27	ENCFF633OSJ
ENSG00000013573	12.24	ENCFF633OSJ
ENSG00000013583	8.1	ENCFF633OSJ
ENSG00000013588	2.6	ENCFF633OSJ
ENSG00000013619	0.96	ENCFF633OSJ
ENSG00000013810	1.7	ENCFF633OSJ
ENSG00000014123	5.36	ENCFF633OSJ
ENSG00000014138	2.22	ENCFF633OSJ
ENSG00000014164	4.59	ENCFF633OSJ
ENSG00000014216	134.66	ENCFF633OSJ
ENSG00000014257	15.54	ENCFF633OSJ
ENSG00000014641	36.09	ENCFF633OSJ
ENSG00000014824	8.87	ENCFF633OSJ
ENSG00000014914	4.69	ENCFF633OSJ
ENSG00000014919	6.82	ENCFF633OSJ
ENSG00000015133	5.51	ENCFF633OSJ
ENSG00000015153	3.36	ENCFF633OSJ
ENSG00000015171	14.11	ENCFF633OSJ
ENSG00000015285	1.23	ENCFF633OSJ
ENSG00000015475	4.28	ENCFF633OSJ
ENSG00000015479	26.12	ENCFF633OSJ
ENSG00000015532	12.46	ENCFF633OSJ
ENSG00000015568	7.84	ENCFF633OSJ
ENSG00000015676	23.94	ENCFF633OSJ
ENSG00000016082	0.78	ENCFF633OSJ
ENSG00000016391	1.68	ENCFF633OSJ
ENSG00000016402	17.22	ENCFF633OSJ
ENSG00000016864	11.73	ENCFF633OSJ
ENSG00000017260	14.67	ENCFF633OSJ
ENSG00000017427	2.79	ENCFF633OSJ
ENSG00000017483	14.93	ENCFF633OSJ
ENSG00000017797	37.63	ENCFF633OSJ
ENSG00000018189	16.52	ENCFF633OSJ
ENSG00000018236	5.15	ENCFF633OSJ
ENSG00000018280	2.88	ENCFF633OSJ
ENSG00000018408	12.91	ENCFF633OSJ
ENSG00000018510	2.07	ENCFF633OSJ
ENSG00000018610	3.84	ENCFF633OSJ
ENSG00000018625	1.25	ENCFF633OSJ
ENSG00000018699	3.32	ENCFF633OSJ
ENSG00000018869	0.79	ENCFF633OSJ
ENSG00000019144	26.25	ENCFF633OSJ
ENSG00000019169	2.16	ENCFF633OSJ
ENSG00000019186	0.58	ENCFF633OSJ
ENSG00000019485	2.72	ENCFF633OSJ
ENSG00000019549	13.24	ENCFF633OSJ
ENSG00000019582	237.1	ENCFF633OSJ
ENSG00000019995	6.93	ENCFF633OSJ
ENSG00000020129	6.2	ENCFF633OSJ
ENSG00000020181	4.37	ENCFF633OSJ
ENSG00000020256	8.0	ENCFF633OSJ
ENSG00000020426	3.1	ENCFF633OSJ
ENSG00000020577	2.43	ENCFF633OSJ
ENSG00000020633	4.42	ENCFF633OSJ
ENSG00000020922	4.82	ENCFF633OSJ
ENSG00000021300	2.95	ENCFF633OSJ
ENSG00000021355	3.92	ENCFF633OSJ
ENSG00000021574	6.46	ENCFF633OSJ
ENSG00000021645	0.71	ENCFF633OSJ
ENSG00000021762	14.04	ENCFF633OSJ
ENSG00000021776	6.52	ENCFF633OSJ
ENSG00000021826	1.68	ENCFF633OSJ
ENSG00000022267	15.16	ENCFF633OSJ
ENSG00000022277	11.72	ENCFF633OSJ
ENSG00000022556	1.9	ENCFF633OSJ
ENSG00000022567	2.44	ENCFF633OSJ
ENSG00000022840	48.67	ENCFF633OSJ
ENSG00000022976	5.31	ENCFF633OSJ
ENSG00000023041	4.59	ENCFF633OSJ
ENSG00000023191	91.6	ENCFF633OSJ
ENSG00000023228	17.35	ENCFF633OSJ
ENSG00000023287	15.42	ENCFF633OSJ
ENSG00000023318	3.14	ENCFF633OSJ
ENSG00000023330	12.85	ENCFF633OSJ
ENSG00000023445	2.68	ENCFF633OSJ
ENSG00000023516	5.07	ENCFF633OSJ
ENSG00000023572	3.87	ENCFF633OSJ
ENSG00000023608	2.19	ENCFF633OSJ
ENSG00000023697	8.34	ENCFF633OSJ
ENSG00000023734	7.51	ENCFF633OSJ
ENSG00000023892	6.62	ENCFF633OSJ
ENSG00000023902	2.63	ENCFF633OSJ
ENSG00000023909	0.97	ENCFF633OSJ
ENSG00000024048	6.39	ENCFF633OSJ
ENSG00000024422	19.74	ENCFF633OSJ
ENSG00000024862	3.23	ENCFF633OSJ
ENSG00000025039	4.02	ENCFF633OSJ
ENSG00000025156	2.92	ENCFF633OSJ
ENSG00000025293	11.46	ENCFF633OSJ
ENSG00000025434	6.33	ENCFF633OSJ
ENSG00000025708	8.04	ENCFF633OSJ
ENSG00000025770	12.29	ENCFF633OSJ
ENSG00000025772	4.09	ENCFF633OSJ
ENSG00000025796	10.62	ENCFF633OSJ
ENSG00000025800	10.28	ENCFF633OSJ
ENSG00000026025	246.65	ENCFF633OSJ
ENSG00000026036	2.07	ENCFF633OSJ
ENSG00000026103	3.74	ENCFF633OSJ
ENSG00000026297	14.79	ENCFF633OSJ
ENSG00000026508	316.9	ENCFF633OSJ
ENSG00000026950	4.14	ENCFF633OSJ
ENSG00000027001	10.82	ENCFF633OSJ
ENSG00000027075	11.83	ENCFF633OSJ
ENSG00000027697	19.06	ENCFF633OSJ
ENSG00000027847	4.09	ENCFF633OSJ
ENSG00000028116	3.55	ENCFF633OSJ
ENSG00000028137	8.34	ENCFF633OSJ
ENSG00000028203	16.86	ENCFF633OSJ
ENSG00000028310	5.95	ENCFF633OSJ
ENSG00000028528	18.4	ENCFF633OSJ
ENSG00000028839	3.59	ENCFF633OSJ
ENSG00000029153	2.76	ENCFF633OSJ
ENSG00000029363	34.13	ENCFF633OSJ
ENSG00000029364	14.83	ENCFF633OSJ
ENSG00000029639	4.27	ENCFF633OSJ
ENSG00000029725	6.52	ENCFF633OSJ
ENSG00000029993	1.55	ENCFF633OSJ
ENSG00000030066	6.84	ENCFF633OSJ
ENSG00000030110	2.97	ENCFF633OSJ
ENSG00000030419	15.58	ENCFF633OSJ
ENSG00000030582	106.19	ENCFF633OSJ
ENSG00000031003	4.47	ENCFF633OSJ
ENSG00000031081	6.31	ENCFF633OSJ
ENSG00000031691	0.82	ENCFF633OSJ
ENSG00000031698	34.13	ENCFF633OSJ
ENSG00000031823	20.11	ENCFF633OSJ
ENSG00000032219	3.8	ENCFF633OSJ
ENSG00000032389	6.91	ENCFF633OSJ
ENSG00000032444	19.35	ENCFF633OSJ
ENSG00000032742	2.78	ENCFF633OSJ
ENSG00000033011	5.29	ENCFF633OSJ
ENSG00000033030	7.88	ENCFF633OSJ
ENSG00000033050	8.33	ENCFF633OSJ
ENSG00000033100	6.08	ENCFF633OSJ
ENSG00000033170	4.73	ENCFF633OSJ
ENSG00000033178	13.6	ENCFF633OSJ
ENSG00000033327	3.38	ENCFF633OSJ
ENSG00000033627	34.52	ENCFF633OSJ
ENSG00000033800	13.01	ENCFF633OSJ
ENSG00000033867	3.72	ENCFF633OSJ
ENSG00000034053	1.65	ENCFF633OSJ
ENSG00000034152	13.55	ENCFF633OSJ
ENSG00000034239	0.82	ENCFF633OSJ
ENSG00000034510	203.77	ENCFF633OSJ
ENSG00000034533	1.59	ENCFF633OSJ
ENSG00000034677	14.08	ENCFF633OSJ
ENSG00000034693	5.27	ENCFF633OSJ
ENSG00000034713	21.22	ENCFF633OSJ
ENSG00000035115	27.74	ENCFF633OSJ
ENSG00000035141	5.85	ENCFF633OSJ
ENSG00000035403	14.65	ENCFF633OSJ
ENSG00000035499	1.12	ENCFF633OSJ
ENSG00000035664	5.22	ENCFF633OSJ
ENSG00000035681	12.76	ENCFF633OSJ
ENSG00000035687	13.4	ENCFF633OSJ
ENSG00000035862	26.96	ENCFF633OSJ
ENSG00000035928	5.88	ENCFF633OSJ
ENSG00000036054	8.68	ENCFF633OSJ
ENSG00000036257	16.3	ENCFF633OSJ
ENSG00000036448	0.64	ENCFF633OSJ
ENSG00000036549	13.46	ENCFF633OSJ
ENSG00000036672	2.83	ENCFF633OSJ
ENSG00000037042	2.83	ENCFF633OSJ
ENSG00000037241	5.73	ENCFF633OSJ
ENSG00000037474	14.11	ENCFF633OSJ
ENSG00000037637	12.47	ENCFF633OSJ
ENSG00000037749	11.41	ENCFF633OSJ
ENSG00000037757	19.66	ENCFF633OSJ
ENSG00000037897	4.83	ENCFF633OSJ
ENSG00000038002	7.73	ENCFF633OSJ
ENSG00000038210	4.17	ENCFF633OSJ
ENSG00000038219	8.48	ENCFF633OSJ
ENSG00000038274	10.07	ENCFF633OSJ
ENSG00000038295	2.47	ENCFF633OSJ
ENSG00000038358	14.58	ENCFF633OSJ
ENSG00000038382	14.82	ENCFF633OSJ
ENSG00000038427	5.39	ENCFF633OSJ
ENSG00000038532	9.42	ENCFF633OSJ
ENSG00000039068	58.59	ENCFF633OSJ
ENSG00000039123	20.73	ENCFF633OSJ
ENSG00000039319	4.17	ENCFF633OSJ
ENSG00000039523	5.43	ENCFF633OSJ
ENSG00000039537	1.02	ENCFF633OSJ
ENSG00000039560	9.52	ENCFF633OSJ
ENSG00000039650	9.78	ENCFF633OSJ
ENSG00000039987	9.81	ENCFF633OSJ
ENSG00000040199	1.59	ENCFF633OSJ
ENSG00000040275	1.61	ENCFF633OSJ
ENSG00000040341	5.94	ENCFF633OSJ
ENSG00000040487	3.24	ENCFF633OSJ
ENSG00000040531	8.17	ENCFF633OSJ
ENSG00000040608	2.11	ENCFF633OSJ
ENSG00000040633	4.5	ENCFF633OSJ
ENSG00000040933	3.21	ENCFF633OSJ
ENSG00000041353	5.08	ENCFF633OSJ
ENSG00000041357	24.03	ENCFF633OSJ
ENSG00000041802	14.36	ENCFF633OSJ
ENSG00000041880	5.15	ENCFF633OSJ
ENSG00000041982	4.9	ENCFF633OSJ
ENSG00000041988	7.54	ENCFF633OSJ
ENSG00000042062	1.31	ENCFF633OSJ
ENSG00000042088	4.89	ENCFF633OSJ
ENSG00000042286	1.81	ENCFF633OSJ
ENSG00000042317	2.54	ENCFF633OSJ
ENSG00000042429	10.35	ENCFF633OSJ
ENSG00000042445	29.14	ENCFF633OSJ
ENSG00000042493	45.64	ENCFF633OSJ
ENSG00000042753	19.38	ENCFF633OSJ
ENSG00000042832	7.88	ENCFF633OSJ
ENSG00000042980	1.18	ENCFF633OSJ
ENSG00000043039	4.25	ENCFF633OSJ
ENSG00000043093	4.16	ENCFF633OSJ
ENSG00000043143	14.04	ENCFF633OSJ
ENSG00000043462	1.83	ENCFF633OSJ
ENSG00000043514	9.38	ENCFF633OSJ
ENSG00000044090	4.11	ENCFF633OSJ
ENSG00000044115	67.33	ENCFF633OSJ
ENSG00000044446	6.27	ENCFF633OSJ
ENSG00000044459	1.04	ENCFF633OSJ
ENSG00000044574	15.24	ENCFF633OSJ
ENSG00000046604	6.79	ENCFF633OSJ
ENSG00000046647	5.58	ENCFF633OSJ
ENSG00000046651	9.82	ENCFF633OSJ
ENSG00000046653	4.49	ENCFF633OSJ
ENSG00000046889	1.01	ENCFF633OSJ
ENSG00000047056	5.02	ENCFF633OSJ
ENSG00000047188	4.95	ENCFF633OSJ
ENSG00000047230	2.54	ENCFF633OSJ
ENSG00000047249	13.78	ENCFF633OSJ
ENSG00000047315	13.0	ENCFF633OSJ
ENSG00000047346	15.08	ENCFF633OSJ
ENSG00000047365	29.87	ENCFF633OSJ
ENSG00000047410	20.14	ENCFF633OSJ
ENSG00000047578	6.8	ENCFF633OSJ
ENSG00000047579	3.89	ENCFF633OSJ
ENSG00000047597	0.54	ENCFF633OSJ
ENSG00000047621	2.49	ENCFF633OSJ
ENSG00000047634	1.74	ENCFF633OSJ
ENSG00000047644	7.95	ENCFF633OSJ
ENSG00000047648	0.88	ENCFF633OSJ
ENSG00000047849	32.22	ENCFF633OSJ
ENSG00000047932	5.17	ENCFF633OSJ
