gene_id	TPM	file_accession
ENSG00000011485	2.05	ENCFF918KPC
ENSG00000011523	0.89	ENCFF918KPC
ENSG00000011566	2.13	ENCFF918KPC
ENSG00000011638	2.31	ENCFF918KPC
ENSG00000012061	1.02	ENCFF918KPC
ENSG00000012171	2.9	ENCFF918KPC
ENSG00000012223	4.27	ENCFF918KPC
ENSG00000012660	0.57	ENCFF918KPC
ENSG00000012817	1.14	ENCFF918KPC
ENSG00000012822	6.39	ENCFF918KPC
ENSG00000012983	6.69	ENCFF918KPC
ENSG00000013275	0.95	ENCFF918KPC
ENSG00000013288	0.68	ENCFF918KPC
ENSG00000013306	2.99	ENCFF918KPC
ENSG00000013364	3.24	ENCFF918KPC
ENSG00000013374	0.75	ENCFF918KPC
ENSG00000013375	2.16	ENCFF918KPC
ENSG00000013441	4.64	ENCFF918KPC
ENSG00000013503	0.71	ENCFF918KPC
ENSG00000013523	0.73	ENCFF918KPC
ENSG00000013561	1.52	ENCFF918KPC
ENSG00000013563	1.09	ENCFF918KPC
ENSG00000013573	2.35	ENCFF918KPC
ENSG00000013588	1.33	ENCFF918KPC
ENSG00000013810	1.67	ENCFF918KPC
ENSG00000014123	0.65	ENCFF918KPC
ENSG00000014138	1.18	ENCFF918KPC
ENSG00000014216	7.3	ENCFF918KPC
ENSG00000014257	0.68	ENCFF918KPC
ENSG00000014641	5.31	ENCFF918KPC
ENSG00000014824	1.92	ENCFF918KPC
ENSG00000015133	0.95	ENCFF918KPC
ENSG00000015153	0.82	ENCFF918KPC
ENSG00000015171	6.47	ENCFF918KPC
ENSG00000015475	0.9	ENCFF918KPC
ENSG00000015479	3.49	ENCFF918KPC
ENSG00000015532	2.7	ENCFF918KPC
ENSG00000015676	3.3	ENCFF918KPC
ENSG00000017797	0.96	ENCFF918KPC
ENSG00000018189	2.69	ENCFF918KPC
ENSG00000018236	1.53	ENCFF918KPC
ENSG00000018408	2.45	ENCFF918KPC
ENSG00000018510	0.6	ENCFF918KPC
ENSG00000018625	2.34	ENCFF918KPC
ENSG00000019102	3.3	ENCFF918KPC
ENSG00000019144	0.77	ENCFF918KPC
ENSG00000019582	10.86	ENCFF918KPC
ENSG00000020129	2.09	ENCFF918KPC
ENSG00000021645	0.93	ENCFF918KPC
ENSG00000021762	1.03	ENCFF918KPC
ENSG00000022267	14.59	ENCFF918KPC
ENSG00000022277	1.4	ENCFF918KPC
ENSG00000022567	1.21	ENCFF918KPC
ENSG00000022840	12.57	ENCFF918KPC
ENSG00000023041	1.28	ENCFF918KPC
ENSG00000023191	5.84	ENCFF918KPC
ENSG00000023228	2.52	ENCFF918KPC
ENSG00000023287	0.77	ENCFF918KPC
ENSG00000023445	1.31	ENCFF918KPC
ENSG00000023516	1.3	ENCFF918KPC
ENSG00000023734	2.36	ENCFF918KPC
ENSG00000023902	3.9	ENCFF918KPC
ENSG00000024048	0.6	ENCFF918KPC
ENSG00000024422	0.82	ENCFF918KPC
ENSG00000024862	0.88	ENCFF918KPC
ENSG00000025039	1.01	ENCFF918KPC
ENSG00000025156	1.01	ENCFF918KPC
ENSG00000025293	3.04	ENCFF918KPC
ENSG00000025434	0.83	ENCFF918KPC
ENSG00000025708	3.29	ENCFF918KPC
ENSG00000025796	3.64	ENCFF918KPC
ENSG00000025800	0.78	ENCFF918KPC
ENSG00000026025	13.52	ENCFF918KPC
ENSG00000026297	4.05	ENCFF918KPC
ENSG00000026508	5.13	ENCFF918KPC
ENSG00000028116	0.67	ENCFF918KPC
ENSG00000028203	3.7	ENCFF918KPC
ENSG00000028310	1.09	ENCFF918KPC
ENSG00000028528	1.38	ENCFF918KPC
ENSG00000029363	3.09	ENCFF918KPC
ENSG00000029364	1.0	ENCFF918KPC
ENSG00000029725	2.01	ENCFF918KPC
ENSG00000030582	2.33	ENCFF918KPC
ENSG00000031003	0.75	ENCFF918KPC
ENSG00000031698	2.85	ENCFF918KPC
ENSG00000031823	5.28	ENCFF918KPC
ENSG00000032444	1.57	ENCFF918KPC
ENSG00000032742	1.54	ENCFF918KPC
ENSG00000033100	2.25	ENCFF918KPC
ENSG00000033170	2.5	ENCFF918KPC
ENSG00000033627	9.77	ENCFF918KPC
ENSG00000033800	0.87	ENCFF918KPC
ENSG00000033867	4.76	ENCFF918KPC
ENSG00000034152	2.28	ENCFF918KPC
ENSG00000034510	11.33	ENCFF918KPC
ENSG00000034677	1.5	ENCFF918KPC
ENSG00000034713	4.31	ENCFF918KPC
ENSG00000034971	1.89	ENCFF918KPC
ENSG00000035115	4.9	ENCFF918KPC
ENSG00000035141	0.83	ENCFF918KPC
ENSG00000035403	2.67	ENCFF918KPC
ENSG00000035499	0.91	ENCFF918KPC
ENSG00000035664	4.01	ENCFF918KPC
ENSG00000035681	4.26	ENCFF918KPC
ENSG00000035687	1.15	ENCFF918KPC
ENSG00000035862	1.48	ENCFF918KPC
ENSG00000035928	1.16	ENCFF918KPC
ENSG00000036054	1.78	ENCFF918KPC
ENSG00000036549	2.3	ENCFF918KPC
ENSG00000036565	0.81	ENCFF918KPC
ENSG00000037042	2.43	ENCFF918KPC
ENSG00000037241	0.75	ENCFF918KPC
ENSG00000037474	0.92	ENCFF918KPC
ENSG00000037637	0.56	ENCFF918KPC
ENSG00000037749	0.76	ENCFF918KPC
ENSG00000037757	1.1	ENCFF918KPC
ENSG00000038219	1.05	ENCFF918KPC
ENSG00000038274	0.73	ENCFF918KPC
ENSG00000038358	3.16	ENCFF918KPC
ENSG00000038382	12.53	ENCFF918KPC
ENSG00000038532	1.5	ENCFF918KPC
ENSG00000039068	3.59	ENCFF918KPC
ENSG00000039123	1.09	ENCFF918KPC
ENSG00000039523	3.12	ENCFF918KPC
ENSG00000039650	2.14	ENCFF918KPC
ENSG00000040275	1.41	ENCFF918KPC
ENSG00000040341	3.46	ENCFF918KPC
ENSG00000040633	0.57	ENCFF918KPC
ENSG00000040933	0.53	ENCFF918KPC
ENSG00000041357	0.99	ENCFF918KPC
ENSG00000041880	0.56	ENCFF918KPC
ENSG00000041982	2.43	ENCFF918KPC
ENSG00000042088	2.85	ENCFF918KPC
ENSG00000042317	0.68	ENCFF918KPC
ENSG00000042429	2.75	ENCFF918KPC
ENSG00000042445	1.88	ENCFF918KPC
ENSG00000042493	1.08	ENCFF918KPC
ENSG00000042832	3.36	ENCFF918KPC
ENSG00000042980	1.57	ENCFF918KPC
ENSG00000043143	1.07	ENCFF918KPC
ENSG00000043462	0.99	ENCFF918KPC
ENSG00000044115	4.47	ENCFF918KPC
ENSG00000044446	1.42	ENCFF918KPC
ENSG00000044524	0.76	ENCFF918KPC
ENSG00000044574	1.53	ENCFF918KPC
ENSG00000046647	0.75	ENCFF918KPC
ENSG00000047056	0.97	ENCFF918KPC
ENSG00000047249	0.53	ENCFF918KPC
ENSG00000047315	2.15	ENCFF918KPC
ENSG00000047346	4.63	ENCFF918KPC
ENSG00000047365	0.57	ENCFF918KPC
ENSG00000047410	6.14	ENCFF918KPC
ENSG00000047578	1.18	ENCFF918KPC
ENSG00000047597	0.72	ENCFF918KPC
ENSG00000047644	0.7	ENCFF918KPC
ENSG00000047849	3.28	ENCFF918KPC
ENSG00000047932	0.53	ENCFF918KPC
ENSG00000048140	1.8	ENCFF918KPC
ENSG00000048162	1.25	ENCFF918KPC
ENSG00000048405	0.73	ENCFF918KPC
ENSG00000048471	0.85	ENCFF918KPC
ENSG00000048540	1.3	ENCFF918KPC
ENSG00000048544	0.85	ENCFF918KPC
ENSG00000048649	2.8	ENCFF918KPC
ENSG00000048707	1.65	ENCFF918KPC
ENSG00000048740	0.83	ENCFF918KPC
ENSG00000048828	2.15	ENCFF918KPC
