gene_id	TPM	file_accession
ENSG00000008405	2.52	ENCFF408GFZ
ENSG00000008441	3.01	ENCFF408GFZ
ENSG00000008513	2.57	ENCFF408GFZ
ENSG00000008517	0.66	ENCFF408GFZ
ENSG00000008710	2.47	ENCFF408GFZ
ENSG00000008838	3.99	ENCFF408GFZ
ENSG00000008869	2.02	ENCFF408GFZ
ENSG00000008952	6.41	ENCFF408GFZ
ENSG00000008988	351.92	ENCFF408GFZ
ENSG00000009307	63.76	ENCFF408GFZ
ENSG00000009335	5.65	ENCFF408GFZ
ENSG00000009413	7.13	ENCFF408GFZ
ENSG00000009780	1.2	ENCFF408GFZ
ENSG00000009844	2.9	ENCFF408GFZ
ENSG00000009950	3.41	ENCFF408GFZ
ENSG00000009954	3.87	ENCFF408GFZ
ENSG00000010017	3.89	ENCFF408GFZ
ENSG00000010072	1.03	ENCFF408GFZ
ENSG00000010165	0.93	ENCFF408GFZ
ENSG00000010219	0.94	ENCFF408GFZ
ENSG00000010244	12.11	ENCFF408GFZ
ENSG00000010256	5.85	ENCFF408GFZ
ENSG00000010270	3.1	ENCFF408GFZ
ENSG00000010278	4.83	ENCFF408GFZ
ENSG00000010292	0.66	ENCFF408GFZ
ENSG00000010295	0.54	ENCFF408GFZ
ENSG00000010318	0.68	ENCFF408GFZ
ENSG00000010319	6.0	ENCFF408GFZ
ENSG00000010322	3.25	ENCFF408GFZ
ENSG00000010327	11.52	ENCFF408GFZ
ENSG00000010404	3.44	ENCFF408GFZ
ENSG00000010610	1.62	ENCFF408GFZ
ENSG00000010671	0.58	ENCFF408GFZ
ENSG00000010704	0.58	ENCFF408GFZ
ENSG00000010803	2.87	ENCFF408GFZ
ENSG00000010810	16.45	ENCFF408GFZ
ENSG00000010818	1.26	ENCFF408GFZ
ENSG00000011007	3.44	ENCFF408GFZ
ENSG00000011009	1.46	ENCFF408GFZ
ENSG00000011021	1.27	ENCFF408GFZ
ENSG00000011028	0.65	ENCFF408GFZ
ENSG00000011052	2.21	ENCFF408GFZ
ENSG00000011105	0.62	ENCFF408GFZ
ENSG00000011114	2.27	ENCFF408GFZ
ENSG00000011132	1.0	ENCFF408GFZ
ENSG00000011198	21.48	ENCFF408GFZ
ENSG00000011201	0.94	ENCFF408GFZ
ENSG00000011243	3.46	ENCFF408GFZ
ENSG00000011258	1.55	ENCFF408GFZ
ENSG00000011260	2.15	ENCFF408GFZ
ENSG00000011275	2.24	ENCFF408GFZ
ENSG00000011295	1.71	ENCFF408GFZ
ENSG00000011304	5.37	ENCFF408GFZ
ENSG00000011376	0.61	ENCFF408GFZ
ENSG00000011405	5.76	ENCFF408GFZ
ENSG00000011422	1.23	ENCFF408GFZ
ENSG00000011451	0.97	ENCFF408GFZ
ENSG00000011454	3.5	ENCFF408GFZ
ENSG00000011465	148.98	ENCFF408GFZ
ENSG00000011485	2.68	ENCFF408GFZ
ENSG00000011523	1.72	ENCFF408GFZ
ENSG00000011566	4.0	ENCFF408GFZ
ENSG00000011600	9.92	ENCFF408GFZ
ENSG00000011638	2.84	ENCFF408GFZ
ENSG00000012061	3.96	ENCFF408GFZ
ENSG00000012174	0.75	ENCFF408GFZ
ENSG00000012211	0.76	ENCFF408GFZ
ENSG00000012232	1.08	ENCFF408GFZ
ENSG00000012660	18.35	ENCFF408GFZ
ENSG00000012779	2.09	ENCFF408GFZ
ENSG00000012822	9.17	ENCFF408GFZ
ENSG00000012963	1.26	ENCFF408GFZ
ENSG00000012983	4.82	ENCFF408GFZ
ENSG00000013275	4.72	ENCFF408GFZ
