gene_id	TPM	file_accession
ENSG00000008710	4.98	ENCFF365ZMW
ENSG00000008838	1.66	ENCFF365ZMW
ENSG00000008869	1.51	ENCFF365ZMW
ENSG00000008952	5.02	ENCFF365ZMW
ENSG00000008988	318.6	ENCFF365ZMW
ENSG00000009307	105.77	ENCFF365ZMW
ENSG00000009335	4.77	ENCFF365ZMW
ENSG00000009413	4.38	ENCFF365ZMW
ENSG00000009780	0.91	ENCFF365ZMW
ENSG00000009830	0.64	ENCFF365ZMW
ENSG00000009844	2.82	ENCFF365ZMW
ENSG00000009954	2.88	ENCFF365ZMW
ENSG00000010017	5.14	ENCFF365ZMW
ENSG00000010072	0.83	ENCFF365ZMW
ENSG00000010165	1.09	ENCFF365ZMW
ENSG00000010219	3.76	ENCFF365ZMW
ENSG00000010244	6.93	ENCFF365ZMW
ENSG00000010256	13.18	ENCFF365ZMW
ENSG00000010270	4.13	ENCFF365ZMW
ENSG00000010278	21.77	ENCFF365ZMW
ENSG00000010292	5.46	ENCFF365ZMW
ENSG00000010295	0.94	ENCFF365ZMW
ENSG00000010318	0.74	ENCFF365ZMW
ENSG00000010322	3.88	ENCFF365ZMW
ENSG00000010327	7.32	ENCFF365ZMW
ENSG00000010361	1.4	ENCFF365ZMW
ENSG00000010404	4.34	ENCFF365ZMW
ENSG00000010610	0.78	ENCFF365ZMW
ENSG00000010626	0.86	ENCFF365ZMW
ENSG00000010803	3.82	ENCFF365ZMW
ENSG00000010810	4.81	ENCFF365ZMW
ENSG00000010818	0.7	ENCFF365ZMW
ENSG00000011007	1.67	ENCFF365ZMW
ENSG00000011009	1.49	ENCFF365ZMW
ENSG00000011021	0.96	ENCFF365ZMW
ENSG00000011028	1.19	ENCFF365ZMW
ENSG00000011052	0.52	ENCFF365ZMW
ENSG00000011105	1.16	ENCFF365ZMW
ENSG00000011114	2.71	ENCFF365ZMW
ENSG00000011132	1.08	ENCFF365ZMW
ENSG00000011198	1.82	ENCFF365ZMW
ENSG00000011243	6.33	ENCFF365ZMW
ENSG00000011258	0.88	ENCFF365ZMW
ENSG00000011260	1.31	ENCFF365ZMW
ENSG00000011275	2.28	ENCFF365ZMW
ENSG00000011295	2.57	ENCFF365ZMW
ENSG00000011304	3.28	ENCFF365ZMW
ENSG00000011405	4.43	ENCFF365ZMW
ENSG00000011422	0.82	ENCFF365ZMW
